id	mothers	kids
E07000046	8.125	1.75
E07000047	7.125	1.5
E07000048	14	4
E07000049	15.625	3
E07000050	11	2.5
E07000051	7.625	1.5
E07000052	17	3.75
E07000053	15.75	3.25
E07000078	60.25	7.75
E07000079	19.625	3.5
E07000080	11.375	4.5
E07000081	57.625	18.25
E07000082	27.875	6.75
E07000083	21.75	3.75
E07000187	21.5	3
E07000188	22.125	4.75
E07000189	35.75	4.75
E07000190	24.75	5.5
E07000191	4	1
W06000001	8	1.5
W06000002	34.625	9.5
W06000003	23	3
W06000004	16.5	2
W06000005	23.5	2.75
W06000006	29.875	5.5
W06000023	23.5	2.75
W06000008	31.875	3.75
W06000009	21.875	4.75
W06000010	31.625	5
W06000011	104.5	19.5
W06000012	24.875	1.75
W06000013	30.375	6
W06000014	36.25	12
W06000015	387	92.25
W06000016	41.5	8.5
W06000024	16	3.75
W06000018	28.375	8.5
W06000019	9.625	2
W06000020	16.375	3.5
W06000021	14	1.75
W06000022	83.25	18
IE011	413.30000000000007	134.2
IE012	239	82.4
IE013	388.1	111
IE021	2259.5	499.79999999999995
IE022	470.29999999999995	154.2
IE023	320.5	101.2
IE024	375.3	125
IE025	582.2	195
NI1	13.475	5.3
NI2	13.05	8.2
NI3	8.25	5.4
NI4	10.3625	4.8
NI5	2.825	1.2
NI6	9.1875	3.5
NI7	128.4125	43.7
NI8	9.399999999999999	7
NI9	22.299999999999997	13.6
NI10	17.3375	5.6
NI11	2.825	2.2
NI12	26.275	12.4
NI19	27.012500000000003	10
NI13	12.637500000000001	7.6
NI14	33.875	9.7
NI15	11.7	4.7
NI16	3.5749999999999997	2.6
NI17	4.4625	1.2
NI18	27.2	13.1
NI20	6.074999999999999	3.8
NI21	1.725	0.8
NI22	17.6875	5.2
NI23	17.025	11.2
NI24	26.925	11.9
NI25	8.5875	2.5
NI26	4.125	2.1
