GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	N_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE	N_ACE
59932	0.88	0.87	1.67	0.81	0.93	1.01	-48	-115	5	2	50	11
59933	0.65	0.63	1.1	0.73	0.74	0.63	-5297	-4222	72	25	25	-1196
59934	0.81	0.79	2.52	0.72	0.9	0.73	-18	-21	1	1	1	-1
59935	0.63	0.62	1.19	0.75	0.5	0.85	-1153	-1140	8	0	-16	-5
59937	0.69	0.64	2.04	1.03	0.59	1.35	-135	-137	1	5	-3	0
59938	0.71	0.67	2.58	1.02	0.55	1.03	-280	-289	1	7	-8	8
59939	0.72	0.72	0.0	0.78	0.73	0.61	-90	-88	0	0	-2	-2
59940	0.75	0.64	6.43	1.37	0.47	0.97	-82	-84	0	9	-5	-1
59943	0.71	0.67	1.49	1.05	0.83	1.73	-157	-171	2	5	2	5
59944	0.68	0.66	2.26	0.84	0.43	1.18	-125	-125	0	0	-3	3
59945	0.71	0.69	0.0	0.95	0.68	9.26	-78	-76	0	0	-2	0
59950	0.9	0.85	1.42	1.17	1.04	0.34	-43	-56	1	11	2	-1
59952	0.74	0.74	0.0	0.84	0.65	0.3	-66	-60	-1	2	-6	-1
59955	0.79	0.65	0.0	1.02	0.9	1.01	-20	-28	0	6	1	2
59960	0.63	0.64	1.66	0.26	0.8	1.48	-32	-28	0	-4	1	-1
59965	0.97	0.85	0.0	1.38	1.44	0.76	-6	-32	2	21	2	1
59970	0.8	0.74	1.82	1.31	0.55	0.7	-132	-159	3	30	-6	0
59975	0.98	0.95	0.95	1.23	0.37	1.55	-8	-16	0	11	-1	-1
59977	0.95	0.98	1.89	0.74	0.99	0.9	38	36	0	0	2	0
60	0.78	0.7	0.65	1.09	0.69	0.61	-55	-77	-1	22	1	0
60990	0.79	0.72	0.69	1.16	0.66	0.75	-44	-63	0	18	2	0
61	1.0	0.82	0.69	1.21	0.55	1.13	68	-11	0	81	-2	0
61995	0.84	0.76	0.64	1.07	0.78	1.19	6	-10	0	13	0	2
62	1.67	0.6	0.0	1.9	1.6	0.0	216	-12	0	228	0	0
R10	0.62	0.61	1.03	0.78	0.64	0.66	-1073	-1080	0	8	-1	0
R11	0.85	0.85	0.3	1.39	0.0	0.43	-84	-85	0	2	-1	0
R12	0.73	0.71	0.98	1.26	0.9	0.96	-937	-965	7	24	-3	0
R13	0.71	0.69	1.29	1.19	1.84	1.19	-939	-975	1	29	5	1
R24	0.73	0.71	1.68	1.14	0.52	4.58	-4176	-4409	17	187	1	28
R35	0.83	0.81	1.06	1.1	0.84	1.21	-2905	-3132	14	209	1	2
R46	1.1	0.97	2.18	1.52	0.56	0.79	270	-263	6	530	-1	-2
R47	1.06	0.93	1.77	1.56	0.73	0.7	-58	-562	4	502	1	-3
R48	0.99	0.95	1.12	1.3	0.88	1.06	150	-230	4	359	16	0
R59	0.81	0.78	0.99	1.01	0.64	1.0	-1416	-1490	5	109	-38	-2
R60	0.76	0.62	0.0	0.95	6.86	0.0	-12	-13	0	4	-1	0
R61	1.15	0.97	0.91	1.25	0.11	0.86	62	-2	0	68	-2	-2
R62	1.67	0.6	0.0	1.9	1.6	0.0	216	-12	0	228	0	0
